city,domain,contain,,,,,
NC,internal.open.piercecountywa.gov,,,,,,
ND,ita.data.commerce.gov,,,,,,
OH,mbda.data.commerce.gov,,,,,,
OK,mydata.iowa.gov,,,,,,
OR,noaa.data.commerce.gov,,,,,,
PA,ntia.data.commerce.gov,,,,,,
RI,ntis.data.commerce.gov,,,,,,
SC,open.piercecountywa.gov,,,,,,
SD,opendata.fcc.gov,,,,,,
TN,opendata.maryland.gov,,,,,,
TX,opendata.utah.gov,,,,,,
UT,open-data-demo.mtc.ca.gov,,,,,,
VT,opennassau.nassaucountyny.gov,,,,,,
VA,performance.austintexas.gov,,,,,,
WA,performance.commerce.gov,,,,,,
WV,performance.cookcountyil.gov,,,,,,
WI,performance.franklintn.gov,,,,,,
WY,performance.fultoncountyga.gov,,,,,,
,performance.princegeorgescountymd.gov,,,,,,
,performance.providenceri.gov,,,,,,
,performance.seattle.gov,,,,,,
,performance-archive.cookcountyil.gov,,,,,,
,perspectives.dnrec.delaware.gov,,,,,,
,pip.nashville.gov,,,,,,
,policedata.coloradosprings.gov,,,,,,
,policeview.johnscreekga.gov,,,,,,
,portal.bcwg.texas.gov,,,,,,
,priv-data.ojp.usdoj.gov,,,,,,
,results.iowa.gov,,,,,,
,sharefulton.fultoncountyga.gov,,,,,,
,stat.montgomerycountymd.gov,,,,,,
,tni.princegeorgescountymd.gov,,,,,,
,transparencyarchive.michigan.gov,,,,,,
,uspto.data.commerce.gov,,,,,,
,www.data.act.gov.au,,,,,,
,www.data.va.gov,,,,,,
,www.datahub.va.gov,,,,,,
,www.datos.gov.co,,,,,,
,aces.data.socrata.com,,,,,,
,albany.data.socrata.com,,,,,,
,albanycountyny.data.socrata.com,,,,,,
,albemarlecountyva-uvaecc.data.socrata.com,,,,,,
,alexandercountync.data.socrata.com,,,,,,
,alpharetta.data.socrata.com,,,,,,
,amopen.amo.on.ca,,,,,,
,andoverma.data.socrata.com,,,,,,
,annapolismd.data.socrata.com,,,,,,
,anokamn.data.socrata.com,,,,,,
,ardmoreok-pd.data.socrata.com,,,,,,
,ascensionparishla.data.socrata.com,,,,,,
,atlanta.data.socrata.com,,,,,,
,auditor-ca.demo.socrata.com,,,,,,
,austin-aph.data.socrata.com,,,,,,
,austin-energy.data.socrata.com,,,,,,
,austin-internal.data.socrata.com,,,,,,
,austin-metro.demo.socrata.com,,,,,,
,austin-tara.data.socrata.com,,,,,,
,austintexas-op-beta.demo.socrata.com,,,,,,
,baycountymi.data.socrata.com,,,,,,
,bcnv.data.socrata.com,,,,,,
,bcnv-internal.data.socrata.com,,,,,,
,beaufortcountysc.data.socrata.com,,,,,,
,beaufortcountyschools.data.socrata.com,,,,,,
,bentoncounty.data.socrata.com,,,,,,
,berkeleycountywv.data.socrata.com,,,,,,
,berkeleyperformance.demo.socrata.com,,,,,,
,beverlyhillsca.data.socrata.com,,,,,,
,bloomfieldct.data.socrata.com,,,,,,
,bloomington.data.socrata.com,,,,,,
,boulderco.data.socrata.com,,,,,,
,brec.data.socrata.com,,,,,,
,bridgeportct.data.socrata.com,,,,,,
,bronx-lehman-cuny-staging.data.socrata.com,,,,,,
,brookhavenga.data.socrata.com,,,,,,
,budget-qa-reporting.data.socrata.com,,,,,,
,buffalogroveil.data.socrata.com,,,,,,
,calgary.data.socrata.com,,,,,,
,camden.demo.socrata.com,,,,,,
,capecoral.data.socrata.com,,,,,,
,caravanstudios.data.socrata.com,,,,,,
,carsoncity.data.socrata.com,,,,,,
,casagrandeaz.data.socrata.com,,,,,,
,ca-sco.demo.socrata.com,,,,,,
,castlerockco-pd.data.socrata.com,,,,,,
,ccsd.data.socrata.com,,,,,,
,celebratingcities.data.socrata.com,,,,,,
,centennialco.data.socrata.com,,,,,,
,cfschools.data.socrata.com,,,,,,
,champaignil.data.socrata.com,,,,,,
,checkbooknyc.socrata.com,,,,,,
,cityofalbany.data.socrata.com,,,,,,
,cityofcamas.demo.socrata.com,,,,,,
,cityofchesapeake.data.socrata.com,,,,,,
,cityofchicago-v2.demo.socrata.com,,,,,,
,cityoffairbanks.data.socrata.com,,,,,,
,cityoffairfaxpd.data.socrata.com,,,,,,
,cityofhawthorne.data.socrata.com,,,,,,
,cityofindianwells.data.socrata.com,,,,,,
,cityofinverness.data.socrata.com,,,,,,
,cityofkingman.data.socrata.com,,,,,,
,cityoflaramie.data.socrata.com,,,,,,
,cityofmelrose.data.socrata.com,,,,,,
,cityofmonroeoh.data.socrata.com,,,,,,
,cityofnampa.data.socrata.com,,,,,,
,cityofsitka.data.socrata.com,,,,,,
,cityofsunprairie.data.socrata.com,,,,,,
,cityoftracyca.data.socrata.com,,,,,,
,cityofyorbalinda.data.socrata.com,,,,,,
,citystaug.data.socrata.com,,,,,,
,clatsop.data.socrata.com,,,,,,
,claytonmo.data.socrata.com,,,,,,
,clemsonsc.data.socrata.com,,,,,,
,coa-internal.demo.socrata.com,,,,,,
,coconinocountyaz.data.socrata.com,,,,,,
,college-station-tx.demo.socrata.com,,,,,,
,columbiasc.data.socrata.com,,,,,,
,como.data.socrata.com,,,,,,
,controllerdata.lacity.org,,,,,,
,conyersga.data.socrata.com,,,,,,
,cookcounty.data.socrata.com,,,,,,
